level,city,town,name,Life expectancy_2010-2015,Annual checkup_2017,Dental visit_2016,Health insurance_2017,Current smoking_2017,Sleep <7 hours_2016,Coronary heart disease_2017,Current asthma_2017,Diabetes_2017,High blood pressure_2017
neighborhood,Bridgeport,NA,Black Rock,80.4,0.68,0.7,0.15,0.16,0.36,0.05,0.1,0.08,0.26
neighborhood,Bridgeport,NA,Brooklawn-St. Vincent,79.3,0.69,0.63,0.18,0.18,0.4,0.05,0.11,0.1,0.28
neighborhood,Bridgeport,NA,Downtown,73.4,0.71,0.57,0.18,0.18,0.41,0.07,0.11,0.13,0.33
neighborhood,Bridgeport,NA,East End,76.3,0.72,0.55,0.21,0.2,0.44,0.06,0.12,0.13,0.35
neighborhood,Bridgeport,NA,East Side,75.9,0.68,0.51,0.27,0.2,0.42,0.06,0.11,0.13,0.3
neighborhood,Bridgeport,NA,Enterprise,76,0.68,0.59,0.21,0.2,0.42,0.05,0.11,0.11,0.29
neighborhood,Bridgeport,NA,Hollow,75.8,0.66,0.47,0.27,0.24,0.43,0.06,0.12,0.12,0.3
neighborhood,Bridgeport,NA,Mill Hill,76.3,0.71,0.6,0.19,0.18,0.41,0.06,0.11,0.12,0.33
neighborhood,Bridgeport,NA,North End,79.1,0.7,0.71,0.14,0.15,0.37,0.05,0.1,0.09,0.28
neighborhood,Bridgeport,NA,Reservoir-Whiskey Hill,80.3,0.73,0.64,0.17,0.17,0.42,0.05,0.11,0.11,0.32
neighborhood,Bridgeport,NA,South End,79.1,0.66,0.57,0.17,0.17,0.4,0.04,0.1,0.08,0.23
neighborhood,Bridgeport,NA,Upper East Side,76.1,0.71,0.64,0.18,0.17,0.4,0.06,0.11,0.12,0.32
neighborhood,Bridgeport,NA,West End-West Side,75.6,0.68,0.53,0.24,0.21,0.43,0.06,0.11,0.12,0.31
town,Bridgeport,NA,Bridgeport,77.7,0.69,0.61,0.19,0.18,0.4,0.05,0.11,0.11,0.3
neighborhood,Hartford,Hartford,Asylum Hill,79.3,0.76,0.65,0.18,0.19,0.42,0.05,0.12,0.12,0.34
neighborhood,Hartford,Hartford,Barry Square,77.8,0.71,0.56,0.24,0.2,0.4,0.05,0.12,0.12,0.29
neighborhood,Hartford,Hartford,Behind the Rocks,77.9,0.73,0.56,0.26,0.2,0.41,0.06,0.11,0.15,0.33
neighborhood,Hartford,Hartford,Blue Hills,77.2,0.79,0.69,0.13,0.16,0.41,0.05,0.13,0.12,0.35
neighborhood,Hartford,Hartford,Clay Arsenal,74.8,0.75,0.49,0.26,0.24,0.45,0.07,0.13,0.17,0.38
neighborhood,Hartford,Hartford,Downtown,81.2,0.71,0.83,0.07,0.1,0.33,0.03,0.09,0.05,0.2
neighborhood,Hartford,Hartford,Frog Hollow,75.9,0.71,0.51,0.28,0.21,0.41,0.06,0.11,0.14,0.32
neighborhood,Hartford,Hartford,Northeast,76.2,0.79,0.54,0.2,0.23,0.46,0.07,0.14,0.17,0.42
neighborhood,Hartford,Hartford,Parkville,73.7,0.72,0.53,0.27,0.23,0.41,0.07,0.12,0.16,0.35
neighborhood,Hartford,Hartford,Sheldon Charter Oak,76.5,0.74,0.58,0.21,0.19,0.41,0.06,0.11,0.14,0.34
neighborhood,Hartford,Hartford,South End & South Meadows,78.2,0.73,0.62,0.22,0.19,0.39,0.06,0.11,0.13,0.32
neighborhood,Hartford,Hartford,South Green,71.9,0.74,0.54,0.26,0.2,0.4,0.08,0.11,0.16,0.36
neighborhood,Hartford,Hartford,Southwest,78.3,0.76,0.7,0.19,0.15,0.37,0.06,0.1,0.13,0.33
neighborhood,Hartford,Hartford,Upper Albany,77,0.81,0.54,0.18,0.23,0.47,0.07,0.15,0.17,0.44
neighborhood,Hartford,Hartford,West End,76.6,0.75,0.67,0.14,0.16,0.38,0.06,0.11,0.12,0.32
neighborhood,Hartford,West Hartford,Bishops Corner West,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Buena Vista,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Corbins Corner,81.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Elizabeth Park,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Farmington East,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Golf Acres,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Kennedy Park,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Mountain West,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,New Park,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,Rockledge,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,West Hartford,West Hartford Center,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Hartford,NA,Hartford,77.1,0.74,0.61,0.2,0.19,0.41,0.06,0.12,0.13,0.34
town,Hartford,NA,West Hartford,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,New Haven,NA,Amity,77,0.76,0.66,0.14,0.2,0.43,0.06,0.13,0.12,0.36
neighborhood,New Haven,NA,Annex,80.4,0.71,0.67,0.17,0.18,0.41,0.05,0.11,0.1,0.29
neighborhood,New Haven,NA,Beaver Hills,75.4,0.76,0.69,0.12,0.16,0.43,0.04,0.12,0.11,0.34
neighborhood,New Haven,NA,Dixwell,73.2,0.75,0.56,0.18,0.23,0.46,0.06,0.13,0.14,0.39
neighborhood,New Haven,NA,Downtown,79.2,0.66,0.77,0.09,0.12,0.36,0.02,0.1,0.04,0.15
neighborhood,New Haven,NA,Dwight,78,0.71,0.59,0.16,0.21,0.43,0.05,0.12,0.11,0.31
neighborhood,New Haven,NA,East Rock,82.8,0.68,0.79,0.09,0.12,0.35,0.03,0.1,0.06,0.21
neighborhood,New Haven,NA,East Shore,80.7,0.74,0.82,0.08,0.13,0.34,0.06,0.1,0.08,0.3
neighborhood,New Haven,NA,Edgewood,77.9,0.74,0.66,0.14,0.19,0.44,0.04,0.13,0.11,0.33
neighborhood,New Haven,NA,Fair Haven,78.2,0.7,0.54,0.25,0.21,0.43,0.06,0.12,0.13,0.32
neighborhood,New Haven,NA,Fair Haven Heights,75,0.76,0.67,0.17,0.18,0.39,0.09,0.12,0.15,0.4
neighborhood,New Haven,NA,Hill,75.9,0.73,0.53,0.24,0.22,0.44,0.07,0.13,0.15,0.37
neighborhood,New Haven,NA,Newhallville,71.7,0.79,0.57,0.17,0.24,0.48,0.07,0.15,0.17,0.44
neighborhood,New Haven,NA,Prospect Hill,82.3,0.71,0.76,0.1,0.15,0.38,0.04,0.11,0.08,0.26
neighborhood,New Haven,NA,Quinnipiac Meadows,81.6,0.73,0.67,0.16,0.19,0.42,0.05,0.12,0.11,0.32
neighborhood,New Haven,NA,West River,74.6,0.77,0.55,0.2,0.24,0.46,0.08,0.14,0.17,0.43
neighborhood,New Haven,NA,West Rock,78.2,0.7,0.7,0.12,0.16,0.38,0.04,0.13,0.07,0.23
neighborhood,New Haven,NA,Westville,83.9,0.75,0.82,0.07,0.11,0.35,0.05,0.1,0.08,0.3
neighborhood,New Haven,NA,Wooster Square,83.5,0.69,0.66,0.14,0.17,0.39,0.04,0.11,0.09,0.27
town,New Haven,NA,New Haven,78.2,0.72,0.66,0.15,0.18,0.4,0.05,0.12,0.11,0.3
neighborhood,Stamford,NA,Belltown,81.5,0.69,0.78,0.09,0.13,0.34,0.04,0.09,0.07,0.24
neighborhood,Stamford,NA,Cove-East Side,81.4,0.68,0.7,0.16,0.15,0.36,0.05,0.1,0.08,0.26
neighborhood,Stamford,NA,Downtown,81.2,0.67,0.75,0.1,0.11,0.35,0.04,0.09,0.07,0.22
neighborhood,Stamford,NA,Glenbrook,81.2,0.69,0.73,0.13,0.14,0.36,0.05,0.1,0.08,0.27
neighborhood,Stamford,NA,Newfield,81.5,0.72,0.82,0.06,0.1,0.31,0.05,0.09,0.08,0.28
neighborhood,Stamford,NA,North Stamford,86.2,0.73,0.85,0.05,0.09,0.3,0.05,0.08,0.07,0.27
neighborhood,Stamford,NA,Palmers Hill,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
neighborhood,Stamford,NA,Ridgeway,84.1,0.69,0.78,0.11,0.12,0.34,0.04,0.09,0.07,0.25
neighborhood,Stamford,NA,Roxbury,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
neighborhood,Stamford,NA,Shippan,84.2,0.71,0.84,0.05,0.09,0.3,0.04,0.09,0.07,0.25
neighborhood,Stamford,NA,South End,78.1,0.64,0.63,0.2,0.15,0.38,0.04,0.09,0.08,0.23
neighborhood,Stamford,NA,Springdale,81.8,0.69,0.76,0.1,0.13,0.34,0.05,0.09,0.07,0.25
neighborhood,Stamford,NA,Turn Of River,83.6,0.71,0.82,0.07,0.1,0.32,0.05,0.09,0.07,0.26
neighborhood,Stamford,NA,Waterside,79.1,0.69,0.63,0.17,0.16,0.39,0.05,0.1,0.1,0.28
neighborhood,Stamford,NA,West Side,78.1,0.68,0.61,0.22,0.18,0.4,0.05,0.1,0.11,0.29
neighborhood,Stamford,NA,Westover,85.4,0.73,0.84,0.06,0.09,0.3,0.05,0.09,0.07,0.28
town,Stamford,NA,Stamford,81.9,0.69,0.75,0.12,0.13,0.35,0.05,0.09,0.08,0.26
state,NA,NA,Connecticut,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
